property_type,address,postal_code,city,price_kk,price_m2,year_built,area_in,area_out,rooms,bedrooms,energie,url
house,Korianderstraat 2,1104 HR,Amsterdam,400000,3670,2010,109,153,4,3,A,https://www.funda.nl/koop/amsterdam/huis-87773684-korianderstraat-2/
house,Kantershof 323,1104 GS,Amsterdam,350000,3804,1971-1980,92,136,4,3,D,https://www.funda.nl/koop/amsterdam/huis-87766002-kantershof-323/
house,Van der Boechorststraat 72,1081 BV,Amsterdam,800000,6107,1962,131,206,5,4,C,https://www.funda.nl/koop/amsterdam/huis-41303737-van-der-boechorststraat-72/
house,Ank van der Moerstraat 29,1065 LH,Amsterdam,750000,5682,2018,132,22,6,5,A,https://www.funda.nl/koop/amsterdam/huis-41394091-ank-van-der-moerstraat-29/
house,Neerkanne 31,1082 BG,Amsterdam,689000,6380,1960,108,171,4,3,D,https://www.funda.nl/koop/amsterdam/huis-41308240-neerkanne-31/
house,Wethouder Seegersplein 7,1107 DM,Amsterdam,400000,3846,1987,104,131,4,3,C,https://www.funda.nl/koop/amsterdam/huis-41306563-wethouder-seegersplein-7/
house,Kees Schererhof 15,1087 NG,Amsterdam,975000,5328,2013,183,220,5,4,A,https://www.funda.nl/koop/amsterdam/huis-41303374-kees-schererhof-15/
house,George Ortonpad 9,1034 WN,Amsterdam,515000,4328,1995,119,95,4,3,A,https://www.funda.nl/koop/amsterdam/huis-41394828-george-ortonpad-9/
house,Balatonmeerlaan 39,1060 RD,Amsterdam,600000,4615,1998,130,132,5,3,A,https://www.funda.nl/koop/amsterdam/huis-41308093-balatonmeerlaan-39/
house,Uffizilaan 43,1064 WJ,Amsterdam,675000,4299,1997,157,140,5,4,A,https://www.funda.nl/koop/amsterdam/huis-41317169-uffizilaan-43/
house,Top Rinckerstraat 13,1067 PW,Amsterdam,450000,3358,2011,134,120,5,4,A,https://www.funda.nl/koop/amsterdam/huis-41304779-top-rinckerstraat-13/
house,Slatuinenweg 21,1057 KA,Amsterdam,650000,8442,1999,77,93,3,2,B,https://www.funda.nl/koop/amsterdam/huis-41317292-slatuinenweg-21/
house,Kelbergen 156,1104 LH,Amsterdam,325000,3533,1972,92,136,4,3,C,https://www.funda.nl/koop/amsterdam/huis-41318305-kelbergen-156/
house,Termietergouw 6 A,1027 AD,Amsterdam,950000,7422,2006,128,470,5,4,A,https://www.funda.nl/koop/amsterdam/huis-41319677-termietergouw-6-a/
house,Pesetalaan 51,1060 SC,Amsterdam,435000,4307,1998,101,97,4,3,A,https://www.funda.nl/koop/amsterdam/huis-41319829-pesetalaan-51/
